"Census Tract","Census Block Group","County","County ID","Region","Economic Domain Score (by region)","Environmental Domain Score (by region)","Education Domain Score (by region)","Composite Index Score","Final Category"
"06001404300","#N/A","Alameda","06001","Bay Area Region","0.912","0.806","0.832","0.702","Highest Resource"
"06001404400","#N/A","Alameda","06001","Bay Area Region","0.757","0.965","0.83","0.633","Highest Resource"
"06001404501","#N/A","Alameda","06001","Bay Area Region","0.957","0.876","0.68","0.648","Highest Resource"
"06001404502","#N/A","Alameda","06001","Bay Area Region","0.856","0.963","0.692","0.592","Highest Resource"
"06001404600","#N/A","Alameda","06001","Bay Area Region","0.661","0.912","0.655","0.406","High Resource"
"06001404700","#N/A","Alameda","06001","Bay Area Region","0.787","0.921","0.484","0.311","High Resource"
"06001404800","#N/A","Alameda","06001","Bay Area Region","0.589","0.858","0.307","0","Moderate Resource"
"06001404900","#N/A","Alameda","06001","Bay Area Region","0.788","0.623","0.503","0.262","High Resource"
"06001405000","#N/A","Alameda","06001","Bay Area Region","0.908","0.61","0.415","0.286","High Resource"
"06001405100","#N/A","Alameda","06001","Bay Area Region","0.95","0.611","0.719","0.601","Highest Resource"
"06001405200","#N/A","Alameda","06001","Bay Area Region","0.742","0.291","0.184","-0.179","Moderate Resource"
"06001405301","#N/A","Alameda","06001","Bay Area Region","0.894","0.608","0.196","0.033","Moderate Resource"
"06001405302","#N/A","Alameda","06001","Bay Area Region","0.618","0.426","0.337","-0.049","Moderate Resource"
"06001405401","#N/A","Alameda","06001","Bay Area Region","0.353","0.301","0.196","-0.415","Low Resource"
"06001405402","#N/A","Alameda","06001","Bay Area Region","0.284","0.245","0.09","-0.59","Low Resource"
"06001405500","#N/A","Alameda","06001","Bay Area Region","0.474","0.418","0.184","-0.298","Low Resource"
"06001405600","#N/A","Alameda","06001","Bay Area Region","0.51","0.424","0.184","-0.276","Low Resource"
"06001405700","#N/A","Alameda","06001","Bay Area Region","0.128","0.393","0.107","-0.67","Low Resource"
"06001405800","#N/A","Alameda","06001","Bay Area Region","0.086","0.578","0.045","-0.781","Low Resource"
"06001405901","#N/A","Alameda","06001","Bay Area Region","0.057","0.227","0.132","-0.817","Low Resource"
"06001405902","#N/A","Alameda","06001","Bay Area Region","0.122","0.3","0.057","-0.77","Low Resource"
"06001406000","#N/A","Alameda","06001","Bay Area Region","0.168","0.02","0.073","-0.984","Low Resource"
"06001406100","#N/A","Alameda","06001","Bay Area Region","0.074","0.021","0.264","-0.903","Low Resource"
"06001406201","#N/A","Alameda","06001","Bay Area Region","0.077","0.261","0.198","-0.695","Low Resource"
"06001406202","#N/A","Alameda","06001","Bay Area Region","0.078","0.273","0.232","#N/A","High Segregation & Poverty"
"06001406300","#N/A","Alameda","06001","Bay Area Region","0.088","0.478","0.242","-0.572","Low Resource"
"06001406400","#N/A","Alameda","06001","Bay Area Region","0.1","0.381","0.079","-0.745","Low Resource"
"06001406500","#N/A","Alameda","06001","Bay Area Region","0.075","0.43","0.152","-0.699","Low Resource"
"06001406601","#N/A","Alameda","06001","Bay Area Region","0.118","0.488","0.108","-0.661","Low Resource"
"06001406602","#N/A","Alameda","06001","Bay Area Region","0.16","0.591","0.167","-0.533","Low Resource"
"06001406700","#N/A","Alameda","06001","Bay Area Region","0.465","0.925","0.206","-0.158","Moderate Resource"
"06001406800","#N/A","Alameda","06001","Bay Area Region","0.611","0.859","0.249","-0.052","Moderate Resource"
"06001406900","#N/A","Alameda","06001","Bay Area Region","0.514","0.82","0.358","0.001","Moderate Resource"
"06001407000","#N/A","Alameda","06001","Bay Area Region","0.158","0.604","0.082","-0.618","Low Resource"
"06001407101","#N/A","Alameda","06001","Bay Area Region","0.061","0.564","0.02","#N/A","High Segregation & Poverty"
"06001407102","#N/A","Alameda","06001","Bay Area Region","0.088","0.475","0.02","-0.888","Low Resource"
"06001407200","#N/A","Alameda","06001","Bay Area Region","0.06","0.208","0.206","-0.741","Low Resource"
"06001407300","#N/A","Alameda","06001","Bay Area Region","0.029","0.017","0.019","-1.376","Low Resource"
"06001407400","#N/A","Alameda","06001","Bay Area Region","0.028","0.284","0.007","-1.17","Low Resource"
"06001407500","#N/A","Alameda","06001","Bay Area Region","0.005","0.385","0.071","#N/A","High Segregation & Poverty"
"06001407600","#N/A","Alameda","06001","Bay Area Region","0.154","0.527","0.049","-0.693","Low Resource"
"06001407700","#N/A","Alameda","06001","Bay Area Region","0.361","0.92","0.106","-0.353","Low Resource"
"06001407800","#N/A","Alameda","06001","Bay Area Region","0.436","0.633","0.234","-0.221","Moderate Resource"
"06001407900","#N/A","Alameda","06001","Bay Area Region","0.754","0.669","0.279","0.015","Moderate Resource"
"06001408000","#N/A","Alameda","06001","Bay Area Region","0.803","0.953","0.266","0.12","Moderate Resource"
"06001408100","#N/A","Alameda","06001","Bay Area Region","0.705","0.91","0.007","-0.374","Low Resource"
"06001408200","#N/A","Alameda","06001","Bay Area Region","0.299","0.868","0.003","-0.789","Low Resource"
"06001408300","#N/A","Alameda","06001","Bay Area Region","0.169","0.603","0.002","-1.005","Low Resource"
"06001408400","#N/A","Alameda","06001","Bay Area Region","0.051","0.844","0","-1.199","Low Resource"
"06001408500","#N/A","Alameda","06001","Bay Area Region","0.049","0.798","0.001","-1.172","Low Resource"
"06001408600","#N/A","Alameda","06001","Bay Area Region","0.063","0.685","0.048","-0.79","Low Resource"
"06001408700","#N/A","Alameda","06001","Bay Area Region","0.067","0.679","0.089","-0.724","Low Resource"
"06001408800","#N/A","Alameda","06001","Bay Area Region","0.003","0.104","0.111","#N/A","High Segregation & Poverty"
"06001408900","#N/A","Alameda","06001","Bay Area Region","0.038","0.216","0.094","-0.915","Low Resource"
"06001409000","#N/A","Alameda","06001","Bay Area Region","0.039","0.043","0.136","-1.014","Low Resource"
"06001409100","#N/A","Alameda","06001","Bay Area Region","0.076","0.074","0.118","-0.904","Low Resource"
"06001409200","#N/A","Alameda","06001","Bay Area Region","0.037","0.086","0.116","-0.985","Low Resource"
"06001409300","#N/A","Alameda","06001","Bay Area Region","0.034","0.547","0.178","#N/A","High Segregation & Poverty"
"06001409400","#N/A","Alameda","06001","Bay Area Region","0.014","0.363","0.005","#N/A","High Segregation & Poverty"
"06001409500","#N/A","Alameda","06001","Bay Area Region","0.012","0.265","0.001","-1.385","Low Resource"
"06001409600","#N/A","Alameda","06001","Bay Area Region","0.054","0.887","0.003","-1.101","Low Resource"
"06001409700","#N/A","Alameda","06001","Bay Area Region","0.062","0.923","0.013","-0.85","Low Resource"
"06001409800","#N/A","Alameda","06001","Bay Area Region","0.324","0.714","0.029","-0.564","Low Resource"
"06001409900","#N/A","Alameda","06001","Bay Area Region","0.558","0.705","0.014","-0.465","Low Resource"
"06001410000","#N/A","Alameda","06001","Bay Area Region","0.588","0.591","0.331","-0.039","Moderate Resource"
"06001410100","#N/A","Alameda","06001","Bay Area Region","0.174","0.661","0.009","-0.783","Low Resource"
"06001410200","#N/A","Alameda","06001","Bay Area Region","0.099","0.841","0.009","-0.834","Low Resource"
"06001410300","#N/A","Alameda","06001","Bay Area Region","0.037","0.84","0.005","-1.068","Low Resource"
"06001410400","#N/A","Alameda","06001","Bay Area Region","0.102","0.898","0.005","-0.918","Low Resource"
"06001410500","#N/A","Alameda","06001","Bay Area Region","0.063","0.025","0.112","#N/A","High Segregation & Poverty"
"06001420100","#N/A","Alameda","06001","Bay Area Region","0.768","0.571","0.696","0.413","High Resource"
"06001420200","#N/A","Alameda","06001","Bay Area Region","0.671","0.388","0.714","0.331","High Resource"
"06001420300","#N/A","Alameda","06001","Bay Area Region","0.52","0.103","0.732","0.126","Moderate Resource"
"06001420400","#N/A","Alameda","06001","Bay Area Region","0.179","0.111","0.748","-0.116","Moderate Resource"
"06001420500","#N/A","Alameda","06001","Bay Area Region","0.764","0.319","0.748","0.391","High Resource"
"06001420600","#N/A","Alameda","06001","Bay Area Region","0.904","0.576","0.798","0.611","Highest Resource"
"06001421100","#N/A","Alameda","06001","Bay Area Region","0.774","0.955","0.637","0.479","High Resource"
"06001421200","#N/A","Alameda","06001","Bay Area Region","0.85","0.924","0.601","0.483","High Resource"
"06001421300","#N/A","Alameda","06001","Bay Area Region","0.92","0.695","0.696","0.573","Highest Resource"
"06001421400","#N/A","Alameda","06001","Bay Area Region","0.862","0.937","0.608","0.507","Highest Resource"
"06001421500","#N/A","Alameda","06001","Bay Area Region","0.743","0.971","0.608","0.443","High Resource"
"06001421600","#N/A","Alameda","06001","Bay Area Region","0.856","0.932","0.7","0.573","Highest Resource"
"06001421700","#N/A","Alameda","06001","Bay Area Region","0.567","0.823","0.739","0.378","High Resource"
"06001421800","#N/A","Alameda","06001","Bay Area Region","0.829","0.844","0.776","0.579","Highest Resource"
"06001421900","#N/A","Alameda","06001","Bay Area Region","0.722","0.373","0.758","0.388","High Resource"
"06001422000","#N/A","Alameda","06001","Bay Area Region","0.591","0.009","0.783","-0.073","Moderate Resource"
"06001422100","#N/A","Alameda","06001","Bay Area Region","0.67","0.254","0.766","0.33","High Resource"
"06001422200","#N/A","Alameda","06001","Bay Area Region","0.704","0.448","0.766","0.402","High Resource"
"06001422300","#N/A","Alameda","06001","Bay Area Region","0.553","0.716","0.759","0.364","High Resource"
"06001422400","#N/A","Alameda","06001","Bay Area Region","0.371","0.707","0.759","0.241","High Resource"
"06001422500","#N/A","Alameda","06001","Bay Area Region","0.189","0.766","0.7","0.062","Moderate Resource"
"06001422600","#N/A","Alameda","06001","Bay Area Region","0.931","0.723","0.607","0.517","Highest Resource"
"06001422700","#N/A","Alameda","06001","Bay Area Region","0.071","0.949","0.599","-0.118","Moderate Resource"
"06001422800","#N/A","Alameda","06001","Bay Area Region","0.001","0.736","0.619","-0.5","Low Resource"
"06001422900","#N/A","Alameda","06001","Bay Area Region","0.09","0.894","0.671","-0.042","Moderate Resource"
"06001423000","#N/A","Alameda","06001","Bay Area Region","0.623","0.503","0.745","0.35","High Resource"
"06001423100","#N/A","Alameda","06001","Bay Area Region","0.578","0.391","0.74","0.288","High Resource"
"06001423200","#N/A","Alameda","06001","Bay Area Region","0.368","0.214","0.783","0.123","Moderate Resource"
"06001423300","#N/A","Alameda","06001","Bay Area Region","0.552","0.242","0.776","0.258","High Resource"
"06001423400","#N/A","Alameda","06001","Bay Area Region","0.715","0.504","0.595","0.281","High Resource"
"06001423500","#N/A","Alameda","06001","Bay Area Region","0.548","0.719","0.611","0.243","High Resource"
"06001423601","#N/A","Alameda","06001","Bay Area Region","0.746","0.747","0.666","0.417","High Resource"
"06001423602","#N/A","Alameda","06001","Bay Area Region","0.08","0.826","0.619","-0.125","Moderate Resource"
"06001423700","#N/A","Alameda","06001","Bay Area Region","0.506","0.874","0.599","0.248","High Resource"
"06001423800","#N/A","Alameda","06001","Bay Area Region","0.896","0.829","0.788","0.643","Highest Resource"
"06001423901","#N/A","Alameda","06001","Bay Area Region","0.715","0.691","0.477","0.205","High Resource"
"06001423902","#N/A","Alameda","06001","Bay Area Region","0.851","0.758","0.666","0.497","High Resource"
"06001424001","#N/A","Alameda","06001","Bay Area Region","0.54","0.415","0.638","0.2","High Resource"
"06001424002","#N/A","Alameda","06001","Bay Area Region","0.49","0.269","0.591","0.086","Moderate Resource"
"06001425101","#N/A","Alameda","06001","Bay Area Region","0.806","0.062","0.396","-0.052","Moderate Resource"
"06001425102","#N/A","Alameda","06001","Bay Area Region","0.793","0.026","0.396","-0.165","Moderate Resource"
"06001425103","#N/A","Alameda","06001","Bay Area Region","0.876","0.034","0.396","-0.053","Moderate Resource"
"06001425104","#N/A","Alameda","06001","Bay Area Region","0.53","0.043","0.11","-0.565","Low Resource"
"06001426100","#N/A","Alameda","06001","Bay Area Region","0.955","0.886","0.882","0.829","Highest Resource"
"06001426200","#N/A","Alameda","06001","Bay Area Region","0.967","0.69","0.979","0.931","Highest Resource"
"06001427100","#N/A","Alameda","06001","Bay Area Region","0.671","0.204","0.561","0.126","Moderate Resource"
"06001427200","#N/A","Alameda","06001","Bay Area Region","0.45","0.124","0.727","0.098","Moderate Resource"
"06001427300","#N/A","Alameda","06001","Bay Area Region","0.655","0.116","0.567","0.07","Moderate Resource"
"06001427600","#N/A","Alameda","06001","Bay Area Region","0.375","0.129","0.488","-0.18","Moderate Resource"
"06001427700","#N/A","Alameda","06001","Bay Area Region","0.841","0.198","0.452","0.141","Moderate Resource"
"06001427800","#N/A","Alameda","06001","Bay Area Region","0.781","0.46","0.691","0.394","High Resource"
"06001427900","#N/A","Alameda","06001","Bay Area Region","0.806","0.552","0.745","0.474","High Resource"
"06001428000","#N/A","Alameda","06001","Bay Area Region","0.445","0.544","0.734","0.248","High Resource"
"06001428100","#N/A","Alameda","06001","Bay Area Region","0.749","0.476","0.764","0.435","High Resource"
"06001428200","#N/A","Alameda","06001","Bay Area Region","0.709","0.615","0.764","0.439","High Resource"
"06001428301","#N/A","Alameda","06001","Bay Area Region","0.605","0.501","0.852","0.432","High Resource"
"06001428302","#N/A","Alameda","06001","Bay Area Region","0.892","0.908","0.849","0.726","Highest Resource"
"06001428400","#N/A","Alameda","06001","Bay Area Region","0.736","0.662","0.71","0.426","High Resource"
"06001428500","#N/A","Alameda","06001","Bay Area Region","0.672","0.838","0.705","0.424","High Resource"
"06001428600","#N/A","Alameda","06001","Bay Area Region","0.786","0.922","0.659","0.484","High Resource"
"06001428700","#N/A","Alameda","06001","Bay Area Region","0.501","0.014","0.446","-0.364","Low Resource"
"06001430101","#N/A","Alameda","06001","Bay Area Region","0.607","0.251","0.874","0.397","High Resource"
"06001430102","#N/A","Alameda","06001","Bay Area Region","0.615","0.94","0.884","0.595","Highest Resource"
"06001430200","#N/A","Alameda","06001","Bay Area Region","0.549","0.96","0.829","0.503","High Resource"
"06001430300","#N/A","Alameda","06001","Bay Area Region","0.591","0.916","0.844","0.513","Highest Resource"
"06001430400","#N/A","Alameda","06001","Bay Area Region","0.532","0.938","0.821","0.471","High Resource"
"06001430500","#N/A","Alameda","06001","Bay Area Region","0.193","0.443","0.478","-0.205","Moderate Resource"
"06001430600","#N/A","Alameda","06001","Bay Area Region","0.416","0.802","0.729","0.274","High Resource"
"06001430700","#N/A","Alameda","06001","Bay Area Region","0.383","0.906","0.697","0.251","High Resource"
"06001430800","#N/A","Alameda","06001","Bay Area Region","0.405","0.598","0.705","0.202","High Resource"
"06001430900","#N/A","Alameda","06001","Bay Area Region","0.24","0.695","0.686","0.087","Moderate Resource"
"06001431000","#N/A","Alameda","06001","Bay Area Region","0.423","0.255","0.641","0.083","Moderate Resource"
"06001431100","#N/A","Alameda","06001","Bay Area Region","0.389","0.482","0.4","-0.117","Moderate Resource"
"06001431200","#N/A","Alameda","06001","Bay Area Region","0.462","0.434","0.343","-0.131","Moderate Resource"
"06001432100","#N/A","Alameda","06001","Bay Area Region","0.469","0.633","0.218","-0.217","Moderate Resource"
"06001432200","#N/A","Alameda","06001","Bay Area Region","0.412","0.79","0.402","-0.029","Moderate Resource"
"06001432300","#N/A","Alameda","06001","Bay Area Region","0.365","0.546","0.204","-0.332","Low Resource"
"06001432400","#N/A","Alameda","06001","Bay Area Region","0.151","0.024","0.333","-0.692","Low Resource"
"06001432501","#N/A","Alameda","06001","Bay Area Region","0.272","0.053","0.236","-0.589","Low Resource"
"06001432502","#N/A","Alameda","06001","Bay Area Region","0.274","0.06","0.186","-0.633","Low Resource"
"06001432600","#N/A","Alameda","06001","Bay Area Region","0.21","0.467","0.303","-0.36","Low Resource"
"06001432700","#N/A","Alameda","06001","Bay Area Region","0.279","0.53","0.369","-0.223","Moderate Resource"
"06001432800","#N/A","Alameda","06001","Bay Area Region","0.486","0.59","0.312","-0.108","Moderate Resource"
"06001433000","#N/A","Alameda","06001","Bay Area Region","0.263","0.355","0.2","-0.462","Low Resource"
"06001433102","#N/A","Alameda","06001","Bay Area Region","0.339","0.739","0.163","-0.353","Low Resource"
"06001433103","#N/A","Alameda","06001","Bay Area Region","0.219","0.607","0.2","-0.441","Low Resource"
"06001433104","#N/A","Alameda","06001","Bay Area Region","0.133","0.525","0.267","-0.466","Low Resource"
"06001433200","#N/A","Alameda","06001","Bay Area Region","0.096","0.118","0.188","-0.748","Low Resource"
"06001433300","#N/A","Alameda","06001","Bay Area Region","0.32","0.18","0.387","-0.283","Low Resource"
"06001433400","#N/A","Alameda","06001","Bay Area Region","0.313","0.588","0.428","-0.123","Moderate Resource"
"06001433500","#N/A","Alameda","06001","Bay Area Region","0.199","0.683","0.408","-0.213","Moderate Resource"
"06001433600","#N/A","Alameda","06001","Bay Area Region","0.135","0.323","0.285","-0.493","Low Resource"
"06001433700","#N/A","Alameda","06001","Bay Area Region","0.377","0.312","0.131","-0.461","Low Resource"
"06001433800","#N/A","Alameda","06001","Bay Area Region","0.215","0.484","0.091","-0.582","Low Resource"
"06001433900","#N/A","Alameda","06001","Bay Area Region","0.055","0.481","0.072","-0.809","Low Resource"
"06001434000","#N/A","Alameda","06001","Bay Area Region","0.059","0.279","0.091","-0.837","Low Resource"
"06001435102","#N/A","Alameda","06001","Bay Area Region","0.418","0.934","0.169","-0.231","Moderate Resource"
"06001435103","#N/A","Alameda","06001","Bay Area Region","0.668","0.956","0.148","-0.08","Moderate Resource"
"06001435104","#N/A","Alameda","06001","Bay Area Region","0.269","0.657","0.116","-0.481","Low Resource"
"06001435200","#N/A","Alameda","06001","Bay Area Region","0.39","0.621","0.507","0.017","Moderate Resource"
"06001435300","#N/A","Alameda","06001","Bay Area Region","0.281","0.76","0.297","-0.248","Moderate Resource"
"06001435400","#N/A","Alameda","06001","Bay Area Region","0.142","0.324","0.302","-0.467","Low Resource"
"06001435500","#N/A","Alameda","06001","Bay Area Region","0.116","0.41","0.16","-0.619","Low Resource"
"06001435601","#N/A","Alameda","06001","Bay Area Region","0.102","0.5","0.179","-0.613","Low Resource"
"06001435602","#N/A","Alameda","06001","Bay Area Region","0.09","0.625","0.145","-0.639","Low Resource"
"06001435700","#N/A","Alameda","06001","Bay Area Region","0.117","0.302","0.162","-0.65","Low Resource"
"06001435800","#N/A","Alameda","06001","Bay Area Region","0.323","0.327","0.225","-0.388","Low Resource"
"06001435900","#N/A","Alameda","06001","Bay Area Region","0.224","0.532","0.288","-0.353","Low Resource"
"06001436000","#N/A","Alameda","06001","Bay Area Region","0.27","0.581","0.288","-0.307","Low Resource"
"06001436100","#N/A","Alameda","06001","Bay Area Region","0.253","0.32","0.225","-0.444","Low Resource"
"06001436200","#N/A","Alameda","06001","Bay Area Region","0.091","0.299","0.157","-0.701","Low Resource"
"06001436300","#N/A","Alameda","06001","Bay Area Region","0.331","0.325","0.071","-0.554","Low Resource"
"06001436401","#N/A","Alameda","06001","Bay Area Region","0.401","0.674","0.118","-0.368","Low Resource"
"06001436402","#N/A","Alameda","06001","Bay Area Region","0.573","0.972","0.148","-0.128","Moderate Resource"
"06001436500","#N/A","Alameda","06001","Bay Area Region","0.152","0.495","0.178","-0.553","Low Resource"
"06001436601","#N/A","Alameda","06001","Bay Area Region","0.152","0.436","0.096","-0.648","Low Resource"
"06001436602","#N/A","Alameda","06001","Bay Area Region","0.196","0.339","0.07","-0.663","Low Resource"
"06001436700","#N/A","Alameda","06001","Bay Area Region","0.259","0.166","0.253","-0.476","Low Resource"
"06001436800","#N/A","Alameda","06001","Bay Area Region","0.392","0.065","0.063","-0.675","Low Resource"
"06001436900","#N/A","Alameda","06001","Bay Area Region","0.221","0.209","0.229","-0.514","Low Resource"
"06001437000","#N/A","Alameda","06001","Bay Area Region","0.311","0.28","0.373","-0.26","Moderate Resource"
"06001437101","#N/A","Alameda","06001","Bay Area Region","0.296","0.008","0.272","-0.762","Low Resource"
"06001437102","#N/A","Alameda","06001","Bay Area Region","0.134","0.442","0.355","-0.385","Low Resource"
"06001437200","#N/A","Alameda","06001","Bay Area Region","0.283","0.297","0.334","-0.312","Low Resource"
"06001437300","#N/A","Alameda","06001","Bay Area Region","0.206","0.112","0.399","-0.405","Low Resource"
"06001437400","#N/A","Alameda","06001","Bay Area Region","0.236","0.049","0.088","-0.787","Low Resource"
"06001437500","#N/A","Alameda","06001","Bay Area Region","0.108","0.641","0.055","-0.711","Low Resource"
"06001437600","#N/A","Alameda","06001","Bay Area Region","0.146","0.246","0.064","-0.751","Low Resource"
"06001437701","#N/A","Alameda","06001","Bay Area Region","0.064","0.645","0.043","-0.809","Low Resource"
"06001437702","#N/A","Alameda","06001","Bay Area Region","0.112","0.738","0.064","-0.669","Low Resource"
"06001437800","#N/A","Alameda","06001","Bay Area Region","0.342","0.703","0.037","-0.536","Low Resource"
"06001437900","#N/A","Alameda","06001","Bay Area Region","0.114","0.436","0.025","-0.827","Low Resource"
"06001438000","#N/A","Alameda","06001","Bay Area Region","0.306","0.572","0.323","-0.239","Moderate Resource"
"06001438100","#N/A","Alameda","06001","Bay Area Region","0.168","0.307","0.323","-0.422","Low Resource"
"06001438201","#N/A","Alameda","06001","Bay Area Region","0.182","0.183","0.104","-0.695","Low Resource"
"06001438203","#N/A","Alameda","06001","Bay Area Region","0.218","0.737","0.104","-0.512","Low Resource"
"06001438204","#N/A","Alameda","06001","Bay Area Region","0.164","0.762","0.086","-0.579","Low Resource"
"06001438300","#N/A","Alameda","06001","Bay Area Region","0.268","0.228","0.299","-0.392","Low Resource"
"06001438400","#N/A","Alameda","06001","Bay Area Region","0.186","0.439","0.248","-0.451","Low Resource"
"06001440100","#N/A","Alameda","06001","Bay Area Region","0.292","0.949","0.485","0.006","Moderate Resource"
"06001440200","#N/A","Alameda","06001","Bay Area Region","0.176","0.371","0.485","-0.242","Moderate Resource"
"06001440301","#N/A","Alameda","06001","Bay Area Region","0.297","0.153","0.442","-0.255","Moderate Resource"
"06001440304","#N/A","Alameda","06001","Bay Area Region","0.278","0.86","0.589","0.067","Moderate Resource"
"06001440305","#N/A","Alameda","06001","Bay Area Region","0.314","0.959","0.603","0.151","Moderate Resource"
"06001440306","#N/A","Alameda","06001","Bay Area Region","0.19","0.824","0.682","0.067","Moderate Resource"
"06001440307","#N/A","Alameda","06001","Bay Area Region","0.21","0.353","0.636","-0.06","Moderate Resource"
"06001440308","#N/A","Alameda","06001","Bay Area Region","0.523","0.593","0.623","0.212","High Resource"
"06001440331","#N/A","Alameda","06001","Bay Area Region","0.424","0.732","0.519","0.077","Moderate Resource"
"06001440332","#N/A","Alameda","06001","Bay Area Region","0.534","0.964","0.589","0.295","High Resource"
"06001440333","#N/A","Alameda","06001","Bay Area Region","0.437","0.486","0.451","-0.02","Moderate Resource"
"06001440334","#N/A","Alameda","06001","Bay Area Region","0.397","0.56","0.569","0.065","Moderate Resource"
"06001440335","#N/A","Alameda","06001","Bay Area Region","0.651","0.741","0.485","0.182","Moderate Resource"
"06001440336","#N/A","Alameda","06001","Bay Area Region","0.443","0.786","0.703","0.27","High Resource"
"06001441100","#N/A","Alameda","06001","Bay Area Region","0.442","0.78","0.833","0.38","High Resource"
"06001441200","#N/A","Alameda","06001","Bay Area Region","0.652","0.701","0.929","0.598","Highest Resource"
"06001441301","#N/A","Alameda","06001","Bay Area Region","0.694","0.913","0.874","0.617","Highest Resource"
"06001441302","#N/A","Alameda","06001","Bay Area Region","0.524","0.831","0.856","0.46","High Resource"
"06001441401","#N/A","Alameda","06001","Bay Area Region","0.477","0.562","0.858","0.379","High Resource"
"06001441402","#N/A","Alameda","06001","Bay Area Region","0.641","0.718","0.729","0.393","High Resource"
"06001441501","#N/A","Alameda","06001","Bay Area Region","0.545","0.989","0.768","0.473","High Resource"
