Application Number,Type of Tax Credit Funding,Construction Type,Developer,Housing Type,Project Address,Project Name,Project City,Project Zip Code,Project Phone Number,Project County,California Assembly District,California Senate District,Federal Congressional District,Census Tract,Assessor's Parcel Number (APN),Application Stage,Placed in Service (PIS) Date ,Last Building PIS Date,Total Units,Low Income Units,Number of SRO/Studio Units,Number of 1 Bedroom Units,Number of 2 Bedroom Units,Number of 3 Bedroom Units,Number of 4 Bedroom Units,Number of 5 Bedroom Units,Number of 6 Bedroom Units,Units at or below 20% AMI,Units at or below 30% AMI,Units at 35% AMI,Units at 40% AMI,Units at 45% AMI,Units at 50% AMI,Units at 55% AMI,Units at 60% AMI,Units at 70% AMI,Units at 80% AMI,Owner or Applicant Name,Owner/Applicant Contact,Owner/Applicant Address,Owner/Applicant City,Owner/Applicant State,Owner/Applicant Zip,Owner/Applicant Phone,Owner/Applicant Fax,General Partner (1),General Partner (2),General Partner (3),General Partner (4),General Partner (5),Management Company,Management Company Contact,Management Company Address,Management Company City,Management Company State,Management Company Zip,Management Company Phone,Management Company Fax,Annual Federal Award,Total State Award,,,
CA-1990-049,9 %,,Skid Row Housing Trust,SRO,"508 East Fourth Street, Los Angeles, CA 90013     ",The Hart Hotel,Los Angeles,90013,213-622-0790,Los Angeles,53,30,34,2062,,Extended,4/15/92,04/15/92,39,39,0,0,0,0,0,0,0,,,,,,,,,,,Hart Limited Partnership,Jo-Anne Cohen,1317 E 7th Street,Los Angeles,CA,90021,213-683-0522,213-683-0781,Skid Row Housing Trust,,,,,SRHT Property Management Company,LaCheryl Porter,1317 E 7th Street,Los Angeles,CA,90021,213-683-0522,213-683-0781,"$199,478",$0,,,
CA-1990-058,9 %,New Construction,Central Valley Investment Group,Senior,"2100 Morning Star, Shasta Lake, CA 96019     ",Valley Ridge Senior Apartments,Shasta Lake,96019,530.275.2662,Shasta,1,1,1,117.02,,Extended,12/18/91,12/18/91,38,38,0,0,0,0,0,0,0,,,,,,,,,,,Central Valley Investment Group II,John P. Casper,"1010 Racquet Club Drive, Suite 108",Auburn,CA,95603,530.823.2477,530.823.2585,John P. Casper,,,,,"The CBM Group, Inc.",John Kammerer,"1010 Racquet Club Drive, Suite 108",Auburn,CA,95603,530.823.2477,530.823.2585,"$103,711",$0,,,
CA-1990-060,9 %,New Construction,CBM Group Inc,Senior,"11841 Old Tunnel Road, Nevada City, CA 95945     ",Nevada City Senior Apartments,Nevada City,95945,530.477.5356,Nevada,1,1,1,6,,Extended,10/31/91,10/31/91,60,60,0,0,0,0,0,0,0,,,,,,,,,,,Nevada City Investment Group,John P. Casper,"1010 Racquet Club Drive, Suite 108",Auburn,CA,95603,530.823.2477,530.823.2585,John P. Casper,,,,,"The CBM Group, Inc.",John Kammerer,"1010 Racquet Club Drive, Suite 108",Auburn,CA,95603,530.823.2477,530.823.2585,"$194,743",$0,,,
CA-1990-061,9 %,New Construction,"The CBM Group, Inc",Large Family,"1000 Front Street, Livingston, CA 95334     ",Vintage West Apartments,Livingston,95334,2093944791,Merced,21,12,16,3.04,,Extended,3/11/92,03/11/92,55,55,0,0,0,0,0,0,0,,,,,,,,,,,Buttonwood Villa Ltd.,Kimberley McClinton,P.O. Box 986,New Castle,CA,95658,5308887097,5307459962,The Beneficial Housing Foundation,,,,,AWI Management Corporation,Linda Frazier,P.O. Box 550,Auburn,CA,95604,5307456255,5307456171,"$125,369",$0,,,
CA-1990-066,9 %,New Construction,"Hendley Circle, Inc.",SRO,"1415 Hendley Circle, Santa Rosa, CA 95404     ",Hendley Circle Apartments,Santa Rosa,95404,7075449574,Sonoma,10,2,5,1514.01,,Extended,5/28/92,05/28/92,27,27,26,0,1,0,0,0,0,,,,,,,,,,,Burbank Housing Communities Corporation,Charles Cornell,790 Sonoma Avenue,Santa Rosa,CA,95404,(707) 526-9782,7075269811,Burbank Housing Communities Corporation,,,,,Burbank Housing Management Corporation,Alicia Gomez,790 Sonoma Avenue,Santa Rosa,CA,95404,7073031022,7075262562,"$184,005",$0,,,
CA-1990-068,9 %,New Construction,Community Corporation of Santa Monica,Large Family,"1828 17th Street, Santa Monica, CA 90401     ",Greenwood-17th Street,Santa Monica,90401,3103948487,Los Angeles,50,26,33,7018.02,,Extended,3/3/93,03/03/93,7,5,0,1,2,2,0,0,0,,,,,,,,,,,Garcia Apartments LTD,Durinda Abraham,1423 2nd Street Suite B,Santa Monica,CA,90401,310-394-8487,310-395-4336,Community Corporation of Santa Monica,,,,,Community Corporation of Santa Monica,Durinda Abraham,1423 2nd Street Suite B,Santa Monica,CA,90401,310-394-8487,310-395-4336,"$61,963",$0,,,
CA-1990-076,9 %,New Construction,"WG & RP, Inc.",Large Family,"1515 Valdora Street, Davis, CA 95616     ",Fox Creek,Davis,95616,530-757-4436,Yolo,4,3,3,106.08,,Extended,7/31/92,07/31/92,36,34,0,0,0,0,0,0,0,,,,,,,,,,,Rosebloom Associates,Manuela Silva,"5030 Business Center Drive, Suite 260",Fairfield,CA,94534,707-759-6043,707-759-6053,WG-RP,,,,,Sterling Asset Management Company,Peter Lundberg,"5030 Business Center Drive, Suite 260",Fairfield,CA,94534,707-759-6043,707-759-6053,"$291,906","$344,037",,,
CA-1990-079,9 %,New Construction,Community Corporation of Santa Monica,Large Family,"1544 Berkeley Avenue, Santa Monica, CA 90401     ",Greenwood/Berkeley,Santa Monica,90401,3103948487,Los Angeles,50,26,33,7019.02,,Extended,6/7/93,06/07/93,7,5,0,1,1,3,0,0,0,,,,,,,,,,,Garcia Apartments LTD,Durinda Abraham,1423 2nd Street Suite B,Santa Monica,CA,90401,310-394-8487,310-395-4336,Community Corporation of Santa Monica,,,,,Community Corporation of Santa Monica,Durinda Abraham,1423 2nd Street Suite B,Santa Monica,CA,90401,310-394-8487,310-395-4336,"$55,894",$0,,,
CA-1990-081,9 %,New Construction,"HGA, Inc.",Large Family,"2324 Shasta Drive, Davis, CA 95616     ",Heather Glen,Davis,95616,530-757-4440,Yolo,4,3,3,105.11,,Extended,7/31/92,07/31/92,62,62,0,0,0,0,0,0,0,,,,,,,,,,,Heather Glen Associates,Manuela Silva,"5030 Business Center Drive, Suite 260",Fairfield,CA,94534,707-759-6043,707-759-6053,HGA Inc.,,,,,Sterling Asset Management Company,Peter Lundberg,"5030 Business Center Drive, Suite 260",Fairfield,CA,94534,707-759-6043,707-759-6053,"$506,848",$0,,,
CA-1990-086,9 %,New Construction,Petaluma Ecumenical Projects,Senior,"1405 Caulfield Lane, Petaluma, CA 94954     ",Caulfield Lane Apartments,Petaluma,94954,707-769-1399,Sonoma,10,3,2,1506.02,,Extended,6/15/92,06/15/92,22,22,0,0,0,0,0,0,0,,,,,,,,,,,Caulfield Lane Senior Housing Associates,Kerrily Beaton,951 Petaluma Blvd South,Petaluma,CA,94954,707-762-7223,707-762-4657,Caulfield Lane Senior Housing Inc.,,,,,PEP Housing,Kerrily Beaton,951 Petaluma Blvd South,Petaluma,CA,94954,707-762-2336,707-762-4657,"$171,773",$0,,,
CA-1990-094,9 %,New Construction,Advanced Development & Investment Inc.,Large Family,"1562 West 4th Street, Los Angeles, CA 90017     ",Fourth Street Apartments,Los Angeles,90017,2135051813,Los Angeles,53,24,34,2091.02,,Extended,7/13/92,07/13/92,44,44,0,0,0,0,0,0,0,,,,,,,,,,,"1562 4th Street Partners, L.P.",Chris Hutchison,"2321 Rosecrans Ave., Suite 4250",El Segundo,CA,90245,3107064452,3108486016,"Alcole Properties II, LLC",,,,,"Alcole Properties, Inc.",Juan Rubio,"2321 Rosecrans Ave., Suite 4250",El Segundo,CA,90245,8184396665,3108486035,"$492,579",$0,,,
CA-1990-096,9 %,New Construction,Community Corporation of Santa Monica,Large Family,"1747 15th Street, Santa Monica, CA 90401     ",Greenwood/15th Street,Santa Monica,90401,3103948487,Los Angeles,50,26,33,7018.02,,Extended,6/9/93,06/09/93,9,8,0,2,3,3,0,0,0,,,,,,,,,,,Garcia Apartments LTD,Durinda Abraham,1423 2nd Street Suite B,Santa Monica,CA,90401,310-394-8487,310-395-4336,Community Corporation of Santa Monica,,,,,Community Corporation of Santa Monica,Durinda Abraham,1423 2nd Street Suite B,Santa Monica,CA,90401,310-394-8487,310-395-4336,"$97,241",$0,,,
CA-1990-097,9 %,New Construction,Community Corporation of Santa Monica,Large Family,"1968 19th Street, Santa Monica, CA 90401     ",Garcia Apartments,Santa Monica,90401,3103948487,Los Angeles,50,26,33,7018.02,,Extended,5/2/93,05/02/93,7,6,0,0,0,0,0,0,0,,,,,,,,,,,Garcia Apartments LTD,Durinda Abraham,1423 2nd Street Suite B,Santa Monica,CA,90401,310-394-8487,310-395-4336,Community Corporation of Santa Monica,,,,,Community Corporation of Santa Monica,Durinda Abraham,1423 2nd Street Suite B,Santa Monica,CA,90401,310-394-8487,310-395-4336,"$74,402",$0,,,
CA-1990-099,9 %,New Construction,Northern California Housing Corp.,Large Family,"8510 Brentwood Blvd., Brentwood, CA 94513     ",Green Valley Apartments,Brentwood,94513,925.634.8558,Contra Costa,11,7,9,3031.03,,Extended,4/3/92,04/03/92,28,28,0,0,0,0,0,0,0,,,,,,,,,,,Brentwood Green Valley Associates. L.P.,Wendy Saca-Mertens,"3120 Freeboard Drive, #202",West Sacramento,CA,95691,916.414.4445,916.414.4490,Northern California Housing Corp.,,,,,Mercy Housing Management Group,Michael Liebe,"3120 Freeboard Drive, #202",West Sacramento,CA,95691,916.414.4442,916.414.4490,"$234,120",$0,,,
CA-1990-101,9 %,New Construction,Delancy Street Foundation,SRO,"600 Embarcadero, San Francisco, CA 94107     ",Embarcadero Triangle,San Francisco,94107,415.512.5173,San Francisco,17,11,12,615,,Extended,10/30/90,10/30/90,177,167,0,0,0,0,0,0,0,,,,,,,,,,,"Embarcadero Triangle Associates, LP",Jerry Raymond,600 The Embarcardero,San Francisco,CA,94107,415.512.5173,415.512.5175,,,,,,Delancey Street Foundation,Jerry Raymond,600 The Embarcardero,San Francisco,CA,94107,415.512.5173,415.512.5175,"$1,465,116",$0,,,
CA-1990-107,9 %,,"2220 Tenth Avenue, Inc.",Special Needs,"2220 10th Avenue #100, Oakland, CA 94606     ",Santana Apartments,Oakland,94606,510-533-7124,Alameda,18,9,13,4055,,Extended,8/3/92,08/03/92,30,30,0,0,0,0,0,0,0,,,,,,,,,,,2220 Tenth Avenue Associates,Yelena Zilberfayn,"1360 Mission Street, #300",San Francisco,CA,94103,415-355-7156,415-355-7101,Mercy Properties,,,,,Mercy Housing Management Group,Jacquie Hoffman,"1360 Mission Street, #300",San Francisco,CA,94103,415.355.7124,415.355.7101,"$166,890",$0,,,
CA-1990-109,9 %,New Construction,Alpha Group,Senior,"2701 Erskine Creek Road, Lake Isabella, CA 93240     ",Lake Isabella Senior Apartments,Lake Isabella,93240,760.379.2235,Kern,26,16,23,52.04,,Extended,1/27/92,01/27/92,46,46,0,0,0,0,0,0,0,,,,,,,,,,,Lake Isabella Enterprises,John P. Casper,"1010 Racquet Club Drive, Suite 108",Auburn,CA,95603,530.823.2477,530.823.2585,John P. Casper,,,,,"The CBM Group, Inc.",John Kammerer,"1010 Racquet Club Drive, Suite 108",Auburn,CA,95603,530.823.2477,530.823.2585,"$102,289",$0,,,
CA-1990-110,9 %,New Construction,Earlimart Enterprises,Senior,"1094 East Washington Avenue, Earlimart, CA 93219     ",Earlimart Senior Apartments,Earlimart,93219,661.849.2354,Tulare,26,14,21,44,,Extended,6/13/91,06/13/91,35,35,0,0,0,0,0,0,0,,,,,,,,,,,Earlimart Enterprises,John P. Casper,"1010 Racquet Club Drive, Suite 108",Auburn,CA,95603,530.823.2477,530.823.2585,John P. Casper,,,,,"The CBM Group, Inc.",John Kammerer,"1010 Racquet Club Drive, Suite 108",Auburn,CA,95603,530.823.2477,530.823.2585,"$83,270",$0,,,
CA-1990-111,9 %,New Construction,Alpha Group,Senior,"21900 California Avenue, San Joaquin, CA 93660     ",San Joaquin Senior Apartments,San Joaquin,93660,559.693.4602,Fresno,31,12,21,82,,Extended,8/30/91,08/30/91,20,20,0,0,0,0,0,0,0,,,,,,,,,,,San Joaquin Enterprises II,John P. Casper,"1010 Racquet Club Drive, Suite 108",Auburn,CA,95603,530.823.2477,530.823.2585,John P. Casper,,,,,"The CBM Group, Inc.",John Kammerer,"1010 Racquet Club Drive, Suite 108",Auburn,CA,95603,530.823.2477,530.823.2585,"$35,841","$118,859",,,
CA-1990-112,9 %,New Construction,San Joaquin Enterprises/Alpha Group,Large Family,"22200 California Avenue, San Joaquin, CA 93660     ",San Joaquin Apartments,San Joaquin,93660,559.693.4602,Fresno,31,12,21,82,,Extended,11/4/91,11/04/91,38,38,0,0,0,0,0,0,0,,,,,,,,,,,San Joaquin Enterprises II,John P. Casper,"1010 Racquet Club Drive, Suite 108",Auburn,CA,95603,530.823.2477,530.823.2585,John P. Casper,,,,,"The CBM Group, Inc.",John Kammerer,"1010 Racquet Club Drive, Suite 108",Auburn,CA,95603,530.823.2477,530.823.2585,"$74,855","$249,730",,,
CA-1990-113,9 %,New Construction,Alpha Group,Senior,"671315 Finland Road, Westwood, CA 96137     ",Westwood Senior Apartments,Westwood,96137,530.256.3754,Lassen,1,1,1,402,,Extended,6/5/92,06/05/92,24,24,0,0,0,0,0,0,0,,,,,,,,,,,Westwood Enterprises,John P. Casper,"1010 Racquet Club Drive, Suite 108",Auburn,CA,95603,530.823.2477,530.823.2585,John P. Casper,,,,,"The CBM Group, Inc.",John Kammerer,"1010 Racquet Club Drive, Suite 108",Auburn,CA,95603,530.823.2477,530.823.2585,"$56,678",$0,,,
CA-1990-116,9 %,New Construction,Alpha Group,Senior,"970 Prospect Avenue, Hollister, CA 95023     ",Prospect Villa II Apartments,Hollister,95023,831.636.1997,San Benito,30,12,20,5.01,,Extended,10/2/92,10/02/92,42,42,0,0,0,0,0,0,0,,,,,,,,,,,Hollister Investment Group IV,Tamara Shneyderman,"6789 Quail Hill Parkway, Suite 312",Irvine,CA,92603,949.242.29.55,,Rural Housing Preservation Foundation LLC,,,,,"The CBM Group, Inc.",John Kammerer,"1010 Racquet Club Drive, Suite 108",Auburn,CA,95603,530.823.2477,530.823.2585,"$122,882",$0,,,
CA-1990-123,9 %,New Construction,Palmer Avenue Retirement Corp,Non Targeted,"555 E Palmer Avenue, Glendale, CA 91205     ",Palmer House,Glendale,91205,818-551-1330,Los Angeles,43,25,28,3025.06,,Extended,5/29/92,05/29/92,21,21,0,0,0,0,0,0,0,,,,,,,,,,,"Palmer House, LP",Jacqueline Seegobin,516 Burchett Street,Glendale,CA,91203,818-247-0420,818-247-3871,Palmer Avenue Retirement Corporation,,,,,"Southern California Presbyterian Homes, dba be.gro",Beth Burke,516 Burchett Street,Glendale,CA,91203,818-247-0420,818-247-3871,"$206,704",$0,,,
CA-1990-140,9 %,New Construction,Sierra Development,Large Family,"16240 W. Delhi Ave., Delhi, CA 95315 ",Almond Garden Family,Delhi,95315,559 688-9506,Merced,21,12,16,2.03,,Extended,3/30/92,03/30/92,31,30,0,6,9,12,4,0,0,,,,,,,,,,,"ADI Development Partners, LTD",Anthony Donovan,475 SE 35TH STREET UNIT C-17,SOUTH BEACH,OR,97366,805-704-5434,,Anthony Donovan,,,,,INTERSTATE REALTY MANAGEMENT,AARON RICHARDS,2020 W KETTLEMEN LANE,LODI,CA,85242,209 334-6565,209 370-1574,"$110,688","$649,648",,,
CA-1990-143,9 %,New Construction,Douglas Young & Associates,Large Family,"1865 Walnut Avenue, Red Bluff, CA 96080     ",Bayless Garden Apartments,Red Bluff,96080,530-529-5513,Tehama,3,4,1,7,,Extended,5/8/92,05/08/92,46,46,0,0,0,0,0,0,0,,,,,,,,,,,Bayless Garden Investors,Diane Young,1182 California Ave,Woodland,CA,95695,530-666-2368,,Douglas W. Young,,,,,Valley Fair Realty Corporation,M.Woolery,PO Box 988/ 508 Forbes Ave,Yuba City,CA,95992,530-673-3916 X27,530-673-3946,"$183,952","$900,596",,,
CA-1990-144,9 %,New Construction,Philip Hammond,Large Family,"15756 Paradise Avenue, Ivanhoe, CA 93235     ",Oakwood II Apartments,Ivanhoe,93235,559-651-3559,Tulare,26,14,22,8,,Extended,6/4/92,06/04/92,54,54,0,0,0,0,0,0,0,,,,,,,,,,,Northwest Tulare Associates LP,Sarah Todd,1219 N. Plaza Drive,Visalia,CA,93291,559-651-3559,559-651-2585,"Philip R. Hammond, Jr",,,,,"Tetra Property Management, Inc",Sarah Todd,1219 N. Plaza Drive,Visalia,CA,93291,559-651-3559,559-651-2585,"$183,665","$1,113,061",,,
CA-1990-147,9 %,New Construction,Cyrus Youssefi & Daniels C. Logue,Non Targeted,"34 Banning Street, Avalon, CA 90704     ",Eucalyptus Garden Apartments,Avalon,90704,310-510-6927,Los Angeles,70,26,47,5990,,Extended,12/13/93,12/13/93,80,38,0,0,0,0,0,0,0,,,,,,,,,,,Eucalyptus Garden Investors LP,CYRUS YOUSSEFI,"1006 4TH STREET, SUITE 701",Sacramento,CA,95814,916-446-4040,916-446-4044,CYRUS YOUSSEFI,,,,,"C.F.Y. DEVELOPMENT, INC.",SHIRLENE GARNER,"1006 4TH STREET, SUITE 701",Sacramento,CA,95814,916-446-4040,916-446-3401,"$272,767",$0,,,
CA-1990-150,9 %,New Construction,BRIDGE Housing Corporation,Large Family,"375 South Third Street, San Jose, CA 95112     ",Susanne B. Wilson  Residence,San Jose,95112,408-295-4435,Santa Clara,27,15,19,5009.01,,Extended,3/4/93,03/04/93,63,62,12,45,6,0,0,0,0,,,,,,,,,,,Susanne B. Wilson LLC,Susan Johnson,"600 California Street, Suite 900",San Francisco,CA,94108,415-989-1111,415-495-4641,"Bridge Housing Ventures, Inc.",,,,,BRIDGE Property Management Company,Joanna Yong,"600 California Street, Suite 900",San Francisco,CA,94108,415-321-3584,415-495-4641,"$654,695","$3,378,480",,,
CA-1990-151,9 %,New Construction,Centertown Associates,Large Family,"855 C Street, San Rafael, CA 94901     ",Centertown Apartments,San Rafael,94901,415-455-8141,Marin,10,2,2,1110,,Extended,10/30/92,10/30/92,60,60,0,0,0,0,0,0,0,,,,,,,,,,,Centertown Associates LP,Alvin Bonnet,855 C Street,San Rafael,CA,94901,415-258-1800,415-457-4882,"Centertown, Inc.",,,,,"EAH, Inc",Susanne Joyce,2169 E. Francisco Blvd Suite B,San Rafael,CA,94901,415-295-8837,415-295-8937,"$760,790",$0,,,
CA-1990-153,9 %,New Construction,A.N.D. Development Corp,Large Family,"1206 Connecticut Street, San Francisco, CA 94107     ",Connecticut Street Court,San Francisco,94107,(415) 647-7191,San Francisco,17,11,12,9809,,Extended,9/30/92,09/30/92,10,10,0,0,0,0,0,0,0,,,,,,,,,,,Connecticut Street Court Partners,Steve Suzuki,1245 Hpward Street,San Francisco,CA,94103,(415) 575-0423,(415) 575-0424,Asian Neighborhood Design,,,,,Caritas Management Corporation,Deborah A. Madaris,1358 Valencia Street,San Francisco,CA,94110,(415) 647-7191 x113,(415) 648-3919,"$142,676",$0,,,
CA-1990-154,9 %,New Construction,Site K Inc.,Large Family,"800 The Embarcadero, San Francisco, CA 94107     ",Steamboat Point Apartments,San Francisco,94107,415-495-4019,San Francisco,17,11,12,607,,Extended,8/27/92,08/27/92,108,108,0,0,0,0,0,0,0,,,,,,,,,,,South Beach Family Associates,Susan Johnson,"600 California Street, Suite 900",San Francisco,CA,94108,415-989-1111,415-495-4641,"Site K, Inc.",,,,,BRIDGE Property Management Company,Joanna Yong,"600 California Street, Suite 900",San Francisco,CA,94108,415-321-3584,415-495-4641,"$1,551,191",$0,,,
CA-1990-157,9 %,New Construction,CHISPA,Large Family,"225 Third Street, Greenfield, CA 93927     ",Villa Santa Clara,Greenfield,93927,(831) 674-3319,Monterey,30,12,20,112.02,,Extended,10/28/92,10/28/92,30,30,0,0,10,10,10,0,0,,,,,,,,,,,Villa Santa Clara Partners,Norm Kolpin,"295 Main Street, Suite 100",Salinas,CA,93901,831-757-6251,831-757-8025,"CHISPA, Inc.",,,,,"Chispa Housing Management, Inc.",Guillermo Nieto,"295 Main Street, Suite 100",Salinas,CA,93901,831-757-6254,831-757-8025,"$352,511",$0,,,
CA-1990-159,9 %,New Construction,Hunt Avenue Inc.,Large Family,"548 Hunt Avenue, St. Helena, CA 94574     ",Hunt's Grove Apartments,St. Helena,94574,707-963-0557,Napa,4,3,5,2016.02,,Extended,4/27/92,04/27/92,56,56,0,0,0,0,0,0,0,,,,,,,,,,,Hunt Avenue Associates,Susan Johnson,"600 California Street, Suite 900",San Francisco,CA,94108,415-989-1111,415-495-4641,"Hunt Avenue, Inc.",,,,,BRIDGE Property Management Company,Joanna Yong,"600 California Street, Suite 900",San Francisco,CA,94108,415-321-3584,415-495-4641,"$489,258","$1,677,452",,,
